Rounds,Average_Accuracy
1,0.7522153915631347
2,0.9222435670179865
3,1.0529953796290712
4,1.1523543114862949
5,1.232162072140143
6,1.3536733534391168
7,1.4064433179953901
8,1.4261525841914122
9,1.470289765489716
10,1.4695156763025943
