Rounds,Average_Loss
1,0.8002900917624161
2,0.651261195570934
3,0.5363657100112652
4,0.41962837246707646
5,0.3637465907234816
6,0.18905949173817646
7,0.14378579437581973
8,0.10672713687954063
9,0.09521425211550023
10,0.07562536547387048
